Date,Adj Close
2018-12-31,242.7733154296875
2019-01-02,243.02587890625
2019-01-03,237.22659301757812
2019-01-04,245.17266845703125
2019-01-07,247.10577392578125
2019-01-08,249.42739868164062
2019-01-09,250.59312438964844
2019-01-10,251.4770965576172
2019-01-11,251.57423400878906
2019-01-14,250.03941345214844
2019-01-15,252.9050750732422
2019-01-16,253.5170135498047
2019-01-17,255.44044494628906
2019-01-18,258.84033203125
2019-01-22,255.34326171875
2019-01-23,255.8775634765625
2019-01-24,256.0135192871094
2019-01-25,258.1797790527344
2019-01-28,256.2175598144531
2019-01-29,255.8775634765625
2019-01-30,259.92828369140625
2019-01-31,262.21112060546875
2019-02-01,262.3373718261719
2019-02-04,264.18304443359375
2019-02-05,265.2904357910156
2019-02-06,264.9407043457031
2019-02-07,262.4151306152344
2019-02-08,262.73565673828125
2019-02-11,262.8813781738281
2019-02-12,266.2618713378906
2019-02-13,267.1263732910156
2019-02-14,266.5338439941406
2019-02-15,269.4383544921875
2019-02-19,269.9046325683594
2019-02-20,270.4485778808594
2019-02-21,269.4869079589844
2019-02-22,271.15771484375
2019-02-25,271.52685546875
2019-02-26,271.33258056640625
2019-02-27,271.216064453125
2019-02-28,270.7108459472656
2019-03-01,272.401123046875
2019-03-04,271.4103088378906
2019-03-05,271.0411376953125
2019-03-06,269.39947509765625
2019-03-07,267.14581298828125
2019-03-08,266.611572265625
2019-03-11,270.4777526855469
2019-03-12,271.4976806640625
2019-03-13,273.2947998046875
2019-03-14,273.11993408203125
2019-03-15,274.4693603515625
2019-03-18,275.4645080566406
2019-03-19,275.5328369140625
2019-03-20,274.7034912109375
2019-03-21,277.80621337890625
2019-03-22,272.4594421386719
2019-03-25,272.2545471191406
2019-03-26,274.2839660644531
2019-03-27,272.8497009277344
2019-03-28,273.8839416503906
2019-03-29,275.6109313964844
2019-04-01,278.8794250488281
2019-04-02,279.0160217285156
2019-04-03,279.455078125
2019-04-04,280.19659423828125
2019-04-05,281.5528259277344
2019-04-08,281.7674560546875
2019-04-09,280.32342529296875
2019-04-10,281.2796325683594
2019-04-11,281.2015686035156
2019-04-12,283.1041564941406
2019-04-15,282.91876220703125
2019-04-16,283.1041564941406
2019-04-17,282.4114074707031
2019-04-18,282.9675598144531
2019-04-22,283.21142578125
2019-04-23,285.7579650878906
2019-04-24,285.12384033203125
2019-04-25,284.94818115234375
2019-04-26,286.2751159667969
2019-04-29,286.7239074707031
2019-04-30,286.8702697753906
2019-05-01,284.7139892578125
2019-05-02,284.0993347167969
2019-05-03,286.8800048828125
2019-05-06,285.699462890625
2019-05-07,280.9283447265625
2019-05-08,280.5380554199219
2019-05-09,279.68927001953125
2019-05-10,281.0942077636719
2019-05-13,274.0302429199219
2019-05-14,276.50848388671875
2019-05-15,278.12811279296875
2019-05-16,280.7039489746094
2019-05-17,278.88916015625
2019-05-20,277.045166015625
2019-05-21,279.5428771972656
2019-05-22,278.6842956542969
2019-05-23,275.2791748046875
2019-05-24,275.9035949707031
2019-05-28,273.3375549316406
2019-05-29,271.5032653808594
2019-05-30,272.2447509765625
2019-05-31,268.5762023925781
2019-06-03,267.89324951171875
2019-06-04,273.70831298828125
